label,depth,rate
lh_L_IFJa,superficial,0.0013718008722181
lh_L_IFJp,deep,0.00210523310119369
lh_L_IFJp,middle,0.00181832799719956
lh_L_IFJp,superficial,0.00140589422136335
lh_L_IFSa,deep,0.0018671055051839
lh_L_IFSa,middle,0.00156036796117365
lh_L_IFSa,superficial,0.00120664948361295
lh_L_IFSp,deep,0.00200626291782627
lh_L_IFSp,middle,0.00168342099260173
lh_L_IFSp,superficial,0.00123650482347701
lh_L_Ig,deep,0.00134449054879723
lh_L_Ig,middle,0.00120389276875697
lh_L_Ig,superficial,0.000960803773024654
lh_L_MI,deep,0.00106531107373179
lh_L_MI,middle,0.000843927821978339
lh_L_MI,superficial,0.000659900431722445
lh_L_PEF,deep,0.00269293013558547
lh_L_PEF,middle,0.00224828404097506
lh_L_PEF,superficial,0.00147177079372117
lh_L_PoI2,deep,0.000826379354810705
lh_L_PoI2,middle,0.000592689891101676
lh_L_PoI2,superficial,0.000516541439980478
lh_L_SCEF,deep,0.00200832788589496
lh_L_SCEF,middle,0.00196978671594353
lh_L_SCEF,superficial,0.00158389248446556
lh_L_SFL,deep,0.00226266381627118
lh_L_SFL,middle,0.00201857210221994
lh_L_SFL,superficial,0.00168293018254065
lh_L_a10p,deep,0.00154661511862308
lh_L_a10p,middle,0.00123123726143268
lh_L_a10p,superficial,0.0008132801770134
lh_L_a24,deep,0.00102680585729586
lh_L_a24,middle,0.00065071304979474
lh_L_a24,superficial,0.000455148454262604
lh_L_a24pr,deep,0.0019212225025467
lh_L_a24pr,middle,0.00143002801121368
lh_L_a24pr,superficial,0.000990545760671098
lh_L_a32pr,deep,0.00129184076304418
lh_L_a32pr,middle,0.00107862101293142
lh_L_a32pr,superficial,0.000814972714358144
lh_L_a47r,deep,0.00144367592139495
lh_L_a47r,middle,0.00117921524291752
lh_L_a47r,superficial,0.000759031276981743
lh_L_a9-46v,deep,0.00182894965065793
lh_L_a9-46v,middle,0.00141811526580993
lh_L_a9-46v,superficial,0.000958156445848169
lh_L_d32,deep,0.00143109137514781
lh_L_d32,middle,0.00106793513312235
lh_L_d32,superficial,0.000806212521583276
lh_L_i6-8,deep,0.00256436723107844
lh_L_i6-8,middle,0.00226446375645269
lh_L_i6-8,superficial,0.00165771403251345
lh_L_p10p,deep,0.0016286861913337
lh_L_p10p,middle,0.00124421452038278
lh_L_p10p,superficial,0.000836414447240254
lh_L_p24,deep,0.00150858716106275
lh_L_p24,middle,0.00107113902364124
lh_L_p24,superficial,0.000735625167361038
lh_L_p24pr,deep,0.00175971932332717
lh_L_p24pr,middle,0.0014811821099201
lh_L_p24pr,superficial,0.00111466987267877
lh_L_p32,deep,0.00117548055727985
lh_L_p32,middle,0.000807546349682096
lh_L_p32,superficial,0.000547538462194598
lh_L_p32pr,deep,0.00159115723203744
lh_L_p32pr,middle,0.00157812822036816
lh_L_p32pr,superficial,0.00124519491251027
lh_L_p47r,deep,0.0018561705316582
lh_L_p47r,middle,0.00133991604065063
lh_L_p47r,superficial,0.000904499950775783
lh_L_p9-46v,deep,0.00206853963274545
lh_L_p9-46v,middle,0.00164269891994888
lh_L_p9-46v,superficial,0.00118875989964008
lh_L_s32,deep,0.000684848930329272
lh_L_s32,middle,0.000485570832895588
lh_L_s32,superficial,0.000266696904402705
lh_L_s6-8,deep,0.00243894238067653
lh_L_s6-8,middle,0.00208708796472396
lh_L_s6-8,superficial,0.00151047050724477
rh_R_10d,deep,0.00067906865440211
rh_R_10d,middle,0.000171996123355403
rh_R_10d,superficial,-0.000179121790259736
rh_R_10r,deep,0.00122273783181387
rh_R_10r,middle,0.000681204680542028
rh_R_10r,superficial,0.000135359884572353
rh_R_10v,deep,0.00090623929769668
rh_R_10v,middle,0.000305158217066123
rh_R_10v,superficial,-0.000212022317884138
rh_R_11l,deep,0.00246538275420344
rh_R_11l,middle,0.00209394188306163
rh_R_11l,superficial,0.00177208915118161
rh_R_13l,deep,0.00166138963808108
rh_R_13l,middle,0.00131432545741096
rh_R_13l,superficial,0.00107337615635499
rh_R_24dd,deep,0.0026175288876808
rh_R_24dd,middle,0.00263368269981606
rh_R_24dd,superficial,0.00194312258178902
rh_R_24dv,deep,0.00225989873071826
rh_R_24dv,middle,0.00211273756131741
rh_R_24dv,superficial,0.00162329369800529
rh_R_33pr,deep,0.00187681908553525
rh_R_33pr,middle,0.00161712491641959
rh_R_33pr,superficial,0.00119800519010345
rh_R_4,deep,0.00308319907787543
rh_R_4,middle,0.00328039548371599
rh_R_4,superficial,0.00275596796439628
rh_R_43,deep,0.00208778449005465
rh_R_43,middle,0.00174859415516816
rh_R_43,superficial,0.00123284926379236
rh_R_44,deep,0.00179648077514151
rh_R_44,middle,0.00149834635476494
rh_R_44,superficial,0.00089539508290654
rh_R_45,deep,0.00194569891899276
rh_R_45,middle,0.0015441448227645
rh_R_45,superficial,0.000825210005230401
rh_R_46,deep,0.00197122897431864
rh_R_46,middle,0.00157506064400306
rh_R_46,superficial,0.00121966642770406
rh_R_47l,deep,0.00185459260065255
rh_R_47l,middle,0.00128263907245614
rh_R_47l,superficial,0.000697085581396814
rh_R_47m,deep,0.0017520716450063
rh_R_47m,middle,0.00144298322962769
rh_R_47m,superficial,0.00102280776146042
rh_R_47s,deep,0.00110804981360121
rh_R_47s,middle,0.000793412525925429
rh_R_47s,superficial,0.000557748820203308
rh_R_55b,deep,0.00264072881410335
rh_R_55b,middle,0.00223439662688927
rh_R_55b,superficial,0.00150654436478595
rh_R_6a,deep,0.00248630480876864
rh_R_6a,middle,0.00250371072549896
rh_R_6a,superficial,0.00201091561552254
rh_R_6d,deep,0.00310583157677046
rh_R_6d,middle,0.00305480778668433
rh_R_6d,superficial,0.00227115377199481
rh_R_6ma,deep,0.00200647683201462
rh_R_6ma,middle,0.00199527531091755
rh_R_6ma,superficial,0.0016268567648075
rh_R_6mp,deep,0.00183418143717456
rh_R_6mp,middle,0.00192683676776883
