label,depth,rate
lh_L_8BL,depth_3,0.00134854846669048
lh_L_8BL,depth_4,0.00151196788057454
lh_L_8BL,depth_5,0.00168545987403174
lh_L_8BL,depth_6,0.00183545400059427
lh_L_8BL,depth_7,0.00190379161264806
lh_L_8BM,depth_1,0.000942673575892052
lh_L_8BM,depth_2,0.00123362494984096
lh_L_8BM,depth_3,0.00145517653768641
lh_L_8BM,depth_4,0.00163605687736352
lh_L_8BM,depth_5,0.00180717192474542
lh_L_8BM,depth_6,0.00193731920438876
lh_L_8BM,depth_7,0.00196567212065242
lh_L_8C,depth_1,0.00127763756688177
lh_L_8C,depth_2,0.00163028374667253
lh_L_8C,depth_3,0.00191078130719986
lh_L_8C,depth_4,0.00214622042736879
lh_L_8C,depth_5,0.0023356330452526
lh_L_8C,depth_6,0.00245679645175658
lh_L_8C,depth_7,0.0024476309112871
lh_L_9-46d,depth_1,0.000864451203670625
lh_L_9-46d,depth_2,0.00105127886135731
lh_L_9-46d,depth_3,0.00122228751455805
lh_L_9-46d,depth_4,0.00140255271336851
lh_L_9-46d,depth_5,0.00158135001066358
lh_L_9-46d,depth_6,0.00172774405106358
lh_L_9-46d,depth_7,0.00180260712159693
lh_L_9a,depth_1,0.000413557834251813
lh_L_9a,depth_2,0.000754171666074395
lh_L_9a,depth_3,0.000988948167013679
lh_L_9a,depth_4,0.00120757762835052
lh_L_9a,depth_5,0.00142561550683147
lh_L_9a,depth_6,0.00161244413967018
lh_L_9a,depth_7,0.0017162897556653
lh_L_9m,depth_1,0.00044321293306477
lh_L_9m,depth_2,0.000724825962514911
lh_L_9m,depth_3,0.000943605060774577
lh_L_9m,depth_4,0.00113855601599041
lh_L_9m,depth_5,0.00133329961718228
lh_L_9m,depth_6,0.00151368900375425
lh_L_9m,depth_7,0.00161673457172989
lh_L_9p,depth_1,0.000576651969257676
lh_L_9p,depth_2,0.000831396246397107
lh_L_9p,depth_3,0.00106593902230515
lh_L_9p,depth_4,0.00131992774830928
lh_L_9p,depth_5,0.00157452491975936
lh_L_9p,depth_6,0.00177711391301651
lh_L_9p,depth_7,0.00186203189892225
lh_L_AAIC,depth_1,6.18561954165438e-05
lh_L_AAIC,depth_2,0.000132251792847869
lh_L_AAIC,depth_3,0.00022401742588958
lh_L_AAIC,depth_4,0.000321803407157606
lh_L_AAIC,depth_5,0.000472054737421382
lh_L_AAIC,depth_6,0.00062354976286033
lh_L_AAIC,depth_7,0.000719274796049194
lh_L_AVI,depth_1,0.000639465464526209
lh_L_AVI,depth_2,0.000800774906782252
lh_L_AVI,depth_3,0.000922332920486582
lh_L_AVI,depth_4,0.00104011946913229
lh_L_AVI,depth_5,0.00117331356454777
lh_L_AVI,depth_6,0.00128862757946204
lh_L_AVI,depth_7,0.00134501625171662
lh_L_FEF,depth_1,0.00178170787675921
lh_L_FEF,depth_2,0.00216835408707094
lh_L_FEF,depth_3,0.00244632934623118
lh_L_FEF,depth_4,0.002653492807312
lh_L_FEF,depth_5,0.00280243945765969
lh_L_FEF,depth_6,0.00286893112728673
lh_L_FEF,depth_7,0.00280282696033278
lh_L_FOP1,depth_1,0.00100625184823793
lh_L_FOP1,depth_2,0.0012333176736134
lh_L_FOP1,depth_3,0.0013782855877415
lh_L_FOP1,depth_4,0.00150107676221443
lh_L_FOP1,depth_5,0.00165115657325819
lh_L_FOP1,depth_6,0.00178793738077544
lh_L_FOP1,depth_7,0.00185138250421156
